,precision,recall,f1-score,support
0,0.7421875,0.95,0.8333333333333334,100.0
1,0.9019607843137255,0.5822784810126582,0.7076923076923078,79.0
accuracy,0.7877094972067039,0.7877094972067039,0.7877094972067039,0.7877094972067039
macro avg,0.8220741421568627,0.7661392405063291,0.7705128205128207,179.0
weighted avg,0.8127019662613648,0.7877094972067039,0.7778828248101992,179.0
